FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,AFG,Afghanistan,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.11752,0.13367,0.14898,0.2048,0.20976,0.17014,0.19003,0.23132,0.2585,0.3203,0.271,0.20827
A,Annual,AGO,Angola,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.19222,0.1998,0.184,0.3328,0.31098,0.32028,0.29703,0.33114,0.3376,0.3847,0.3789,0.41487
A,Annual,ALB,Albania,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.31079,0.33998,0.37316,0.467,0.45192,0.51606,0.50455,0.53305,0.6519,0.7399,0.7413,0.8
A,Annual,AND,Andorra,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.17416,0.15633,0.18363,0.5175,0.51478,0.61718,0.6426,0.63016,0.6857,0.6881,0.7177,0.68931
A,Annual,ARE,United Arab Emirates,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.5345,0.47356,0.57182,0.6301,0.53494,0.73442,0.71358,0.75153,0.8295,0.8555,0.901,0.95328
A,Annual,ARG,Argentina,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.57704,0.58712,0.59713,0.5844,0.54668,0.62279,0.63059,0.6978,0.7335,0.8279,0.8198,0.85733
A,Annual,ARM,Armenia,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.37673,0.39188,0.36248,0.4182,0.40247,0.49967,0.58969,0.51785,0.5944,0.7136,0.7364,0.84217
A,Annual,ATG,Antigua and Barbuda,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.36443,0.36565,0.40102,0.4485,0.51536,0.63447,0.59266,0.48922,0.5906,0.6055,0.6113,0.64282
A,Annual,AUS,Australia,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.83106,0.83766,0.86786,0.8108,0.78627,0.839,0.91034,0.91428,0.9053,0.9432,0.9405,0.9577
A,Annual,AUT,Austria,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.6756,0.74873,0.76023,0.7428,0.66793,0.78395,0.79124,0.82081,0.8301,0.8914,0.8801,0.90653
A,Annual,AZE,Azerbaijan,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.36351,0.38607,0.37733,0.4609,0.45706,0.49838,0.5472,0.62741,0.6574,0.71,0.6937,0.76073
A,Annual,BDI,Burundi,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.18075,0.15666,0.16425,0.1788,0.20138,0.22882,0.19278,0.22771,0.2985,0.3227,0.3204,0.24805
A,Annual,BEL,Belgium,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.67008,0.75247,0.73806,0.6779,0.72246,0.77181,0.75638,0.7874,0.808,0.8047,0.8269,0.81212
A,Annual,BEN,Benin,UN_EGDI_EGDI,E-Government Development Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.2348,0.22035,0.23088,0.186,0.20171,0.20638,0.1685,0.20389,0.3264,0.4039,0.4264,0.45779
