FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,AFG,Afghanistan,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.08296,0.13127,0.17692,0.26755,0.23174,0.23529,0.1811,0.30435,0.3056,0.4118,0.277,0.14379
A,Annual,AGO,Angola,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.2096,0.21235,0.16538,0.43812,0.33968,0.33333,0.29921,0.34783,0.4097,0.4882,0.4716,0.39624
A,Annual,ALB,Albania,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.08296,0.16216,0.16153,0.3913,0.31111,0.42483,0.44881,0.5942,0.7361,0.8412,0.8182,0.81441
A,Annual,AND,Andorra,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.21397,0.17374,0.25192,0.28428,0.23174,0.31372,0.43307,0.50725,0.6042,0.4824,0.5133,0.47804
A,Annual,ARE,United Arab Emirates,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.41921,0.30501,0.61153,0.71571,0.25079,0.86274,0.88188,0.8913,0.9444,0.9,0.9014,0.91627
A,Annual,ARG,Argentina,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.62445,0.64285,0.65769,0.55852,0.41269,0.52941,0.55118,0.71014,0.75,0.8471,0.8089,0.79649
A,Annual,ARM,Armenia,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.13973,0.25096,0.11153,0.2709,0.1746,0.32679,0.61417,0.42754,0.5625,0.7,0.7221,0.7922
A,Annual,ATG,Antigua and Barbuda,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.0393,0.03474,0.15769,0.14046,0.12063,0.30718,0.41732,0.18116,0.4583,0.4471,0.4231,0.41658
A,Annual,AUS,Australia,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.81222,0.83011,0.90384,0.7525,0.76507,0.86274,0.92913,0.97826,0.9722,0.9471,0.938,0.92219
A,Annual,AUT,Austria,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.47598,0.69884,0.7423,0.66555,0.47619,0.74509,0.74803,0.91304,0.8681,0.9471,0.8827,0.83829
A,Annual,AZE,Azerbaijan,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.131,0.20077,0.18076,0.39464,0.3238,0.36601,0.43307,0.68116,0.7292,0.7059,0.6119,0.73863
A,Annual,BDI,Burundi,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.1572,0.03474,0.03846,0.01337,0.04126,0.15032,0.01574,0.15217,0.3056,0.3529,0.3376,0.3146
A,Annual,BEL,Belgium,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.50655,0.7722,0.71153,0.53846,0.62539,0.64705,0.67716,0.71014,0.7569,0.6588,0.6899,0.72244
A,Annual,BEN,Benin,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.29257,0.22779,0.23846,0.12374,0.11746,0.19607,0.11023,0.14493,0.4722,0.5118,0.5245,0.52016
A,Annual,BFA,Burkina Faso,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.1703,0.2915,0.23269,0.19397,0.15555,0.29411,0.29921,0.18841,0.5347,0.4647,0.373,0.33764
A,Annual,BGD,Bangladesh,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.0917,0.08108,0.07307,0.35117,0.35555,0.44444,0.34645,0.62319,0.7847,0.6118,0.6521,0.73744
A,Annual,BGR,Bulgaria,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.53711,0.50579,0.51923,0.48494,0.40952,0.49019,0.23622,0.56522,0.7639,0.7706,0.7092,0.77271
A,Annual,BHR,Bahrain,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.33187,0.4054,0.41923,0.52006,0.73015,0.86274,0.937,0.82609,0.7986,0.7882,0.7523,0.90305
A,Annual,BHS,"Bahamas, The",UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.21397,0.29922,0.2923,0.301,0.23174,0.47058,0.33858,0.42754,0.7014,0.6765,0.6214,0.54021
A,Annual,BIH,Bosnia and Herzegovina,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.131,0.22007,0.27307,0.29431,0.27619,0.37254,0.28346,0.44928,0.4306,0.5353,0.4898,0.50028
A,Annual,BLR,Belarus,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.12227,0.38223,0.48846,0.32775,0.30158,0.41176,0.32283,0.48551,0.7361,0.7059,0.5302,0.57598
A,Annual,BLZ,Belize,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.25327,0.21621,0.25384,0.30434,0.15873,0.39869,0.37795,0.31884,0.3333,0.2647,0.4425,0.40545
A,Annual,BOL,Bolivia,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.37772,0.25482,0.28846,0.52173,0.30476,0.41176,0.3937,0.49275,0.5625,0.5824,0.5193,0.59869
A,Annual,BRA,Brazil,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.57641,0.63706,0.75,0.602,0.36825,0.6732,0.59842,0.73188,0.9236,0.8706,0.8964,0.90631
A,Annual,BRB,Barbados,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.12227,0.19691,0.21538,0.301,0.2,0.37254,0.22047,0.44203,0.6667,0.5765,0.5388,0.49755
A,Annual,BRN,Brunei Darussalam,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.26637,0.2664,0.24615,0.26421,0.28253,0.59477,0.3622,0.50725,0.7222,0.6353,0.5871,0.5802
A,Annual,BTN,Bhutan,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.03493,0.04247,0.38461,0.40802,0.1873,0.35294,0.24409,0.31884,0.5,0.6824,0.5996,0.58862
A,Annual,BWA,Botswana,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.2227,0.29343,0.36923,0.21739,0.2,0.35947,0.30708,0.28261,0.2083,0.3647,0.274,0.39852
A,Annual,CAF,Central African Republic,UN_EGDI_OSI,Online Services Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.03937,0.0,0.2083,0.1294,0.0962,0.1128
