FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,AFG,Afghanistan,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.0016,0.00173,0.00202,0.01576,0.03278,0.05731,0.14722,0.10658,0.1138,0.1762,0.1867,0.21672
A,Annual,AGO,Angola,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00708,0.00706,0.00663,0.02238,0.04507,0.08919,0.09778,0.14409,0.0972,0.1364,0.2004,0.37238
A,Annual,ALB,Albania,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.0494,0.05778,0.06795,0.12508,0.16293,0.33702,0.3548,0.35296,0.4318,0.5785,0.6037,0.77497
A,Annual,AND,Andorra,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.30853,0.29526,0.29897,0.40664,0.44145,0.7315,0.76706,0.68546,0.722,0.8372,0.8812,0.92307
A,Annual,ARE,United Arab Emirates,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.44431,0.38567,0.36394,0.38134,0.54343,0.55684,0.59319,0.68813,0.8564,0.9344,0.9306,1.0
A,Annual,ARG,Argentina,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.18667,0.1785,0.17371,0.24844,0.28116,0.43517,0.48347,0.50306,0.5927,0.7265,0.7332,0.84254
A,Annual,ARM,Armenia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.07045,0.06468,0.07591,0.08939,0.128,0.32167,0.3889,0.39225,0.466,0.6536,0.6925,0.87824
A,Annual,ATG,Antigua and Barbuda,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.24399,0.2522,0.24539,0.3891,0.52409,0.7192,0.59378,0.5412,0.5617,0.6176,0.5981,0.79426
A,Annual,AUS,Australia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.69096,0.69288,0.70975,0.68839,0.60105,0.65427,0.80405,0.76459,0.7436,0.8825,0.8836,0.95092
A,Annual,AUT,Austria,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.59084,0.57736,0.5784,0.59894,0.57362,0.69769,0.75972,0.70981,0.7716,0.824,0.8505,0.98096
A,Annual,AZE,Azerbaijan,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.07953,0.07746,0.07122,0.1077,0.13292,0.30327,0.46049,0.48525,0.5062,0.6528,0.6761,0.82034
A,Annual,BDI,Burundi,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00504,0.00523,0.0043,0.00624,0.00904,0.01734,0.02332,0.03308,0.0786,0.126,0.14,0.03305
A,Annual,BEL,Belgium,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.51371,0.49522,0.51266,0.52224,0.56979,0.74198,0.6988,0.68083,0.693,0.8033,0.8294,0.86984
A,Annual,BEN,Benin,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.01183,0.01327,0.0142,0.03629,0.04545,0.11175,0.11964,0.14709,0.1418,0.2595,0.3156,0.48171
A,Annual,BFA,Burkina Faso,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00456,0.01405,0.00595,0.0126,0.02012,0.04541,0.08423,0.12318,0.1603,0.3117,0.3931,0.36402
A,Annual,BGD,Bangladesh,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00442,0.00518,0.00549,0.02458,0.033,0.06411,0.09414,0.11934,0.1976,0.3717,0.4469,0.6501
A,Annual,BGR,Bulgaria,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.20691,0.20938,0.25219,0.30707,0.33704,0.50062,0.59406,0.56023,0.5785,0.7826,0.7984,0.91707
A,Annual,BHR,Bahrain,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.34735,0.33161,0.31523,0.3346,0.58551,0.41829,0.7055,0.7762,0.8466,0.8319,0.7444,0.98773
A,Annual,BHS,"Bahamas, The",UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.19281,0.21544,0.23038,0.30334,0.35021,0.45542,0.41758,0.38425,0.5393,0.6739,0.7976,0.86522
A,Annual,BIH,Bosnia and Herzegovina,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.05899,0.08688,0.0926,0.18873,0.25047,0.39168,0.3998,0.40471,0.4385,0.6295,0.6382,0.77628
A,Annual,BLR,Belarus,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.14725,0.13429,0.15707,0.2823,0.20807,0.50325,0.60691,0.63037,0.6881,0.8281,0.8426,0.91561
A,Annual,BLZ,Belize,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.15314,0.14865,0.14072,0.15613,0.14002,0.16274,0.15295,0.18339,0.2247,0.4079,0.3882,0.52917
A,Annual,BOL,Bolivia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.05456,0.0542,0.05678,0.07246,0.09148,0.17862,0.23242,0.25322,0.3148,0.5184,0.5818,0.7089
A,Annual,BRA,Brazil,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.17378,0.16533,0.16435,0.21812,0.2538,0.35676,0.46681,0.5025,0.522,0.6522,0.6814,0.80685
A,Annual,BRB,Barbados,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.20623,0.21189,0.3107,0.44639,0.5513,0.67395,0.67295,0.63967,0.6719,0.7523,0.7318,0.7624
