,Entity,Code,Year,Electoral democracy index (central estimate),World regions according to OWID
0,Afghanistan,AFG,2024,0.081,
1,Africa,,2024,0.37021428,
2,Africa (population-weighted),,2024,0.36421338,
3,Albania,ALB,2024,0.507,
4,Algeria,DZA,2024,0.259,
5,Angola,AGO,2024,0.34,
6,Argentina,ARG,2024,0.712,
7,Armenia,ARM,2024,0.623,
8,Asia,,2024,0.3287347,
9,Asia (population-weighted),,2024,0.28439754,
10,Australia,AUS,2024,0.857,
11,Austria,AUT,2024,0.839,
12,Azerbaijan,AZE,2024,0.175,
13,Bahrain,BHR,2024,0.124,
14,Bangladesh,BGD,2024,0.201,
15,Barbados,BRB,2024,0.786,
16,Belarus,BLR,2024,0.161,
17,Belgium,BEL,2024,0.886,
18,Benin,BEN,2024,0.501,
19,Bhutan,BTN,2024,0.561,
20,Bolivia,BOL,2024,0.576,
21,Bosnia and Herzegovina,BIH,2024,0.508,
22,Botswana,BWA,2024,0.594,
23,Brazil,BRA,2024,0.801,
24,Bulgaria,BGR,2024,0.646,
25,Burkina Faso,BFA,2024,0.156,
26,Burundi,BDI,2024,0.175,
27,Cambodia,KHM,2024,0.186,
28,Cameroon,CMR,2024,0.286,
29,Canada,CAN,2024,0.842,
30,Cape Verde,CPV,2024,0.757,
31,Central African Republic,CAF,2024,0.302,
32,Chad,TCD,2024,0.204,
33,Chile,CHL,2024,0.844,
34,China,CHN,2024,0.073,
35,Colombia,COL,2024,0.701,
36,Comoros,COM,2024,0.282,
37,Congo,COG,2024,0.254,
38,Costa Rica,CRI,2024,0.859,
39,Cote d'Ivoire,CIV,2024,0.432,
40,Croatia,HRV,2024,0.723,
41,Cuba,CUB,2024,0.178,
42,Cyprus,CYP,2024,0.774,
43,Czechia,CZE,2024,0.87,
44,Democratic Republic of Congo,COD,2024,0.327,
45,Denmark,DNK,2024,0.916,
46,Djibouti,DJI,2024,0.25,
47,Dominican Republic,DOM,2024,0.705,
48,East Timor,TLS,2024,0.733,
49,Ecuador,ECU,2024,0.651,
50,Egypt,EGY,2024,0.186,
51,El Salvador,SLV,2024,0.339,
52,Equatorial Guinea,GNQ,2024,0.178,
53,Eritrea,ERI,2024,0.068,
54,Estonia,EST,2024,0.895,
55,Eswatini,SWZ,2024,0.13,
56,Ethiopia,ETH,2024,0.263,
57,Europe,,2024,0.7178293,
58,Europe (population-weighted),,2024,0.64959097,
59,Fiji,FJI,2024,0.516,
60,Finland,FIN,2024,0.847,
61,France,FRA,2024,0.866,
62,Gabon,GAB,2024,0.229,
63,Gambia,GMB,2024,0.634,
64,Georgia,GEO,2024,0.48,
65,Germany,DEU,2024,0.839,
66,Ghana,GHA,2024,0.669,
67,Greece,GRC,2024,0.75,
68,Guatemala,GTM,2024,0.597,
69,Guinea,GIN,2024,0.161,
70,Guinea-Bissau,GNB,2024,0.28,
71,Guyana,GUY,2024,0.491,
72,Haiti,HTI,2024,0.218,
73,Honduras,HND,2024,0.541,
74,Hong Kong,HKG,2024,0.169,
75,Hungary,HUN,2024,0.436,
76,Iceland,ISL,2024,0.844,
77,India,IND,2024,0.398,
78,Indonesia,IDN,2024,0.483,
79,Iran,IRN,2024,0.167,
80,Iraq,IRQ,2024,0.351,
81,Ireland,IRL,2024,0.895,
82,Israel,ISR,2024,0.715,
83,Italy,ITA,2024,0.803,
84,Jamaica,JAM,2024,0.803,
85,Japan,JPN,2024,0.82,
86,Jordan,JOR,2024,0.273,
87,Kazakhstan,KAZ,2024,0.272,
88,Kenya,KEN,2024,0.549,
89,Kosovo,OWID_KOS,2024,0.651,
90,Kuwait,KWT,2024,0.292,
