Entity,Code,Year,Rule of law,World regions according to OWID
Afghanistan,AFG,2005,2.25,
Afghanistan,AFG,2007,3.75,
Afghanistan,AFG,2009,2.25,
Afghanistan,AFG,2011,2.25,
Afghanistan,AFG,2013,2.75,
Afghanistan,AFG,2015,2.5,
Afghanistan,AFG,2017,2.5,
Afghanistan,AFG,2019,3,
Afghanistan,AFG,2021,3,
Afghanistan,AFG,2023,1.5,Asia
Aland Islands,ALA,2023,,Europe
Albania,ALB,2005,5.5,
Albania,ALB,2007,6.25,
Albania,ALB,2009,6.25,
Albania,ALB,2011,6,
Albania,ALB,2013,5,
Albania,ALB,2015,5,
Albania,ALB,2017,5.25,
Albania,ALB,2019,5.5,
Albania,ALB,2021,5.5,
Albania,ALB,2023,6.25,Europe
Algeria,DZA,2005,4.25,
Algeria,DZA,2007,4.25,
Algeria,DZA,2009,4.25,
Algeria,DZA,2011,4.25,
Algeria,DZA,2013,4.25,
Algeria,DZA,2015,4.25,
Algeria,DZA,2017,4.25,
Algeria,DZA,2019,4.25,
Algeria,DZA,2021,4.25,
Algeria,DZA,2023,4.25,Africa
American Samoa,ASM,2023,,Oceania
Andorra,AND,2023,,Europe
Angola,AGO,2005,2.75,
Angola,AGO,2007,2.75,
Angola,AGO,2009,4,
Angola,AGO,2011,3.5,
Angola,AGO,2013,3.5,
Angola,AGO,2015,3,
Angola,AGO,2017,3,
Angola,AGO,2019,3.75,
Angola,AGO,2021,3.75,
Angola,AGO,2023,3.5,Africa
Anguilla,AIA,2023,,North America
Antigua and Barbuda,ATG,2023,,North America
Argentina,ARG,2005,6,
Argentina,ARG,2007,5.75,
Argentina,ARG,2009,5.75,
Argentina,ARG,2011,5.75,
Argentina,ARG,2013,5.75,
Argentina,ARG,2015,5.75,
Argentina,ARG,2017,7,
Argentina,ARG,2019,7.5,
Argentina,ARG,2021,6.5,
Argentina,ARG,2023,6.5,South America
Armenia,ARM,2005,4.25,
Armenia,ARM,2007,4.5,
Armenia,ARM,2009,4.5,
Armenia,ARM,2011,4.75,
Armenia,ARM,2013,4.75,
Armenia,ARM,2015,4.25,
Armenia,ARM,2017,4.5,
Armenia,ARM,2019,6,
Armenia,ARM,2021,5.75,
Armenia,ARM,2023,5.75,Asia
Aruba,ABW,2023,,North America
Australia,AUS,2023,,Oceania
Austria,AUT,2023,,Europe
Austria-Hungary,OWID_AUH,2023,,Europe
Azerbaijan,AZE,2005,4.25,
Azerbaijan,AZE,2007,4.25,
Azerbaijan,AZE,2009,4,
Azerbaijan,AZE,2011,4,
Azerbaijan,AZE,2013,3.75,
Azerbaijan,AZE,2015,3,
Azerbaijan,AZE,2017,3,
Azerbaijan,AZE,2019,3,
Azerbaijan,AZE,2021,3,
Azerbaijan,AZE,2023,3,Asia
Bahamas,BHS,2023,,North America
Bahrain,BHR,2005,5,
Bahrain,BHR,2007,5,
Bahrain,BHR,2009,4.5,
Bahrain,BHR,2011,4.5,
Bahrain,BHR,2013,4,
Bahrain,BHR,2015,3.5,
Bahrain,BHR,2017,2.75,
Bahrain,BHR,2019,2.75,
Bahrain,BHR,2021,2.75,
Bahrain,BHR,2023,2.75,Asia
Bangladesh,BGD,2005,6.25,
Bangladesh,BGD,2007,4.5,
Bangladesh,BGD,2009,5,
Bangladesh,BGD,2011,5,
Bangladesh,BGD,2013,4.25,
Bangladesh,BGD,2015,4.25,
Bangladesh,BGD,2017,3.75,
Bangladesh,BGD,2019,3.5,
Bangladesh,BGD,2021,3.25,
Bangladesh,BGD,2023,3,Asia
Barbados,BRB,2023,,North America
Belarus,BLR,2005,3.25,
Belarus,BLR,2007,3,
Belarus,BLR,2009,3,
Belarus,BLR,2011,3,
Belarus,BLR,2013,3,
Belarus,BLR,2015,3,
Belarus,BLR,2017,4,
Belarus,BLR,2019,4,
Belarus,BLR,2021,2.75,
Belarus,BLR,2023,2.25,Europe
Belgium,BEL,2023,,Europe
Belize,BLZ,2023,,North America
Benin,BEN,2005,7,
Benin,BEN,2007,7.25,
Benin,BEN,2009,6.75,
Benin,BEN,2011,6.25,
Benin,BEN,2013,6.5,
Benin,BEN,2015,6.25,
Benin,BEN,2017,6.5,
Benin,BEN,2019,6.5,
Benin,BEN,2021,5.75,
Benin,BEN,2023,5.5,Africa
Bermuda,BMU,2023,,North America
Bhutan,BTN,2007,5,
Bhutan,BTN,2009,5.5,
Bhutan,BTN,2011,6.25,
Bhutan,BTN,2013,7,
Bhutan,BTN,2015,7.25,
Bhutan,BTN,2017,7.25,
Bhutan,BTN,2019,7.25,
Bhutan,BTN,2021,7.5,
Bhutan,BTN,2023,7.5,Asia
Bolivia,BOL,2005,6,
Bolivia,BOL,2007,5.75,
Bolivia,BOL,2009,5.5,
Bolivia,BOL,2011,5.5,
Bolivia,BOL,2013,6,
Bolivia,BOL,2015,6,
Bolivia,BOL,2017,5.75,
Bolivia,BOL,2019,5.25,
Bolivia,BOL,2021,5.5,
Bolivia,BOL,2023,5.5,South America
Bonaire Sint Eustatius and Saba,BES,2023,,North America
Bosnia and Herzegovina,BIH,2005,6.5,
Bosnia and Herzegovina,BIH,2007,6.75,
Bosnia and Herzegovina,BIH,2009,6.75,
Bosnia and Herzegovina,BIH,2011,6.75,
Bosnia and Herzegovina,BIH,2013,6.5,
Bosnia and Herzegovina,BIH,2015,6.5,
Bosnia and Herzegovina,BIH,2017,6.5,
Bosnia and Herzegovina,BIH,2019,6,
Bosnia and Herzegovina,BIH,2021,6,
Bosnia and Herzegovina,BIH,2023,6,Europe
Botswana,BWA,2005,8,
Botswana,BWA,2007,8.25,
Botswana,BWA,2009,8,
Botswana,BWA,2011,8,
Botswana,BWA,2013,7.75,
Botswana,BWA,2015,7.75,
Botswana,BWA,2017,7.75,
Botswana,BWA,2019,8,
Botswana,BWA,2021,8,
Botswana,BWA,2023,7.75,Africa
Brazil,BRA,2005,7,
Brazil,BRA,2007,7.5,
