,Survey Year,Metric,Percentage
0,2003,E-Government Index,44.255
1,2004,E-Government Index,50.172000000000004
2,2005,E-Government Index,53.285000000000004
3,2008,E-Government Index,51.2
4,2010,E-Government Index,51.359
5,2012,E-Government Index,73.44800000000001
6,2014,E-Government Index,72.959
7,2016,E-Government Index,72.14699999999999
8,2018,E-Government Index,79.69000000000001
9,2020,E-Government Index,82.44
10,2022,E-Government Index,81.62
11,2024,E-Government Index,85.32499999999999
12,2003,E-Participation Index,5.17
13,2004,E-Participation Index,21.311
14,2005,E-Participation Index,14.285
15,2008,E-Participation Index,9.09
16,2010,E-Participation Index,12.857
17,2012,E-Participation Index,65.79
18,2014,E-Participation Index,68.62700000000001
19,2016,E-Participation Index,74.576
20,2018,E-Participation Index,92.13
21,2020,E-Participation Index,86.9
22,2022,E-Participation Index,60.23
23,2024,E-Participation Index,64.38000000000001
24,2003,Online Service Index,22.27
25,2004,Online Service Index,38.995999999999995
26,2005,Online Service Index,45.384
27,2008,Online Service Index,33.444
28,2010,Online Service Index,33.015
29,2012,Online Service Index,66.013
30,2014,Online Service Index,70.866
31,2016,Online Service Index,73.188
32,2018,Online Service Index,91.67
33,2020,Online Service Index,81.76
34,2022,Online Service Index,73.68
35,2024,Online Service Index,77.66
36,2003,Human Capital Index,92.0
37,2004,Human Capital Index,93.0
38,2005,Human Capital Index,95.0
39,2008,Human Capital Index,95.889
40,2010,Human Capital Index,93.96600000000001
41,2012,Human Capital Index,88.498
42,2014,Human Capital Index,83.88
43,2016,Human Capital Index,82.34
44,2018,Human Capital Index,85.22
45,2020,Human Capital Index,88.33
46,2022,Human Capital Index,90.64999999999999
47,2024,Human Capital Index,83.194
48,2003,Telecommunication Infrastructure Index,18.495
49,2004,Telecommunication Infrastructure Index,18.521
50,2005,Telecommunication Infrastructure Index,19.472
51,2008,Telecommunication Infrastructure Index,24.815
52,2010,Telecommunication Infrastructure Index,27.650999999999996
53,2012,Telecommunication Infrastructure Index,65.834
54,2014,Telecommunication Infrastructure Index,64.13
55,2016,Telecommunication Infrastructure Index,60.913
56,2018,Telecommunication Infrastructure Index,62.19
57,2020,Telecommunication Infrastructure Index,77.23
58,2022,Telecommunication Infrastructure Index,80.53
59,2024,Telecommunication Infrastructure Index,95.11800000000001
