Entity,Code,Year,Age of electoral democracy
Afghanistan,AFG,1789,non-electoral autocracy
Afghanistan,AFG,1790,non-electoral autocracy
Afghanistan,AFG,1791,non-electoral autocracy
Afghanistan,AFG,1792,non-electoral autocracy
Afghanistan,AFG,1793,non-electoral autocracy
Afghanistan,AFG,1794,non-electoral autocracy
Afghanistan,AFG,1795,non-electoral autocracy
Afghanistan,AFG,1796,non-electoral autocracy
Afghanistan,AFG,1797,non-electoral autocracy
Afghanistan,AFG,1798,non-electoral autocracy
Afghanistan,AFG,1799,non-electoral autocracy
Afghanistan,AFG,1800,non-electoral autocracy
Afghanistan,AFG,1801,non-electoral autocracy
Afghanistan,AFG,1802,non-electoral autocracy
Afghanistan,AFG,1803,non-electoral autocracy
Afghanistan,AFG,1804,non-electoral autocracy
Afghanistan,AFG,1805,non-electoral autocracy
Afghanistan,AFG,1806,non-electoral autocracy
Afghanistan,AFG,1807,non-electoral autocracy
Afghanistan,AFG,1808,non-electoral autocracy
Afghanistan,AFG,1809,non-electoral autocracy
Afghanistan,AFG,1810,non-electoral autocracy
Afghanistan,AFG,1811,non-electoral autocracy
Afghanistan,AFG,1812,non-electoral autocracy
Afghanistan,AFG,1813,non-electoral autocracy
Afghanistan,AFG,1814,non-electoral autocracy
Afghanistan,AFG,1815,non-electoral autocracy
Afghanistan,AFG,1816,non-electoral autocracy
Afghanistan,AFG,1817,non-electoral autocracy
Afghanistan,AFG,1818,non-electoral autocracy
Afghanistan,AFG,1819,non-electoral autocracy
Afghanistan,AFG,1820,non-electoral autocracy
Afghanistan,AFG,1821,non-electoral autocracy
Afghanistan,AFG,1822,non-electoral autocracy
Afghanistan,AFG,1823,non-electoral autocracy
Afghanistan,AFG,1824,non-electoral autocracy
Afghanistan,AFG,1825,non-electoral autocracy
Afghanistan,AFG,1826,non-electoral autocracy
Afghanistan,AFG,1827,non-electoral autocracy
Afghanistan,AFG,1828,non-electoral autocracy
Afghanistan,AFG,1829,non-electoral autocracy
Afghanistan,AFG,1830,non-electoral autocracy
Afghanistan,AFG,1831,non-electoral autocracy
Afghanistan,AFG,1832,non-electoral autocracy
Afghanistan,AFG,1833,non-electoral autocracy
Afghanistan,AFG,1834,non-electoral autocracy
Afghanistan,AFG,1835,non-electoral autocracy
Afghanistan,AFG,1836,non-electoral autocracy
Afghanistan,AFG,1837,non-electoral autocracy
Afghanistan,AFG,1838,non-electoral autocracy
Afghanistan,AFG,1839,non-electoral autocracy
Afghanistan,AFG,1840,non-electoral autocracy
Afghanistan,AFG,1841,non-electoral autocracy
Afghanistan,AFG,1842,non-electoral autocracy
Afghanistan,AFG,1843,non-electoral autocracy
Afghanistan,AFG,1844,non-electoral autocracy
Afghanistan,AFG,1845,non-electoral autocracy
Afghanistan,AFG,1846,non-electoral autocracy
Afghanistan,AFG,1847,non-electoral autocracy
Afghanistan,AFG,1848,non-electoral autocracy
Afghanistan,AFG,1849,non-electoral autocracy
Afghanistan,AFG,1850,non-electoral autocracy
Afghanistan,AFG,1851,non-electoral autocracy
Afghanistan,AFG,1852,non-electoral autocracy
Afghanistan,AFG,1853,non-electoral autocracy
Afghanistan,AFG,1854,non-electoral autocracy
Afghanistan,AFG,1855,non-electoral autocracy
Afghanistan,AFG,1856,non-electoral autocracy
Afghanistan,AFG,1857,non-electoral autocracy
Afghanistan,AFG,1858,non-electoral autocracy
Afghanistan,AFG,1859,non-electoral autocracy
Afghanistan,AFG,1860,non-electoral autocracy
Afghanistan,AFG,1861,non-electoral autocracy
Afghanistan,AFG,1862,non-electoral autocracy
Afghanistan,AFG,1863,non-electoral autocracy
Afghanistan,AFG,1864,non-electoral autocracy
Afghanistan,AFG,1865,non-electoral autocracy
Afghanistan,AFG,1866,non-electoral autocracy
Afghanistan,AFG,1867,non-electoral autocracy
Afghanistan,AFG,1868,non-electoral autocracy
Afghanistan,AFG,1869,non-electoral autocracy
Afghanistan,AFG,1870,non-electoral autocracy
Afghanistan,AFG,1871,non-electoral autocracy
Afghanistan,AFG,1872,non-electoral autocracy
Afghanistan,AFG,1873,non-electoral autocracy
Afghanistan,AFG,1874,non-electoral autocracy
Afghanistan,AFG,1875,non-electoral autocracy
Afghanistan,AFG,1876,non-electoral autocracy
Afghanistan,AFG,1877,non-electoral autocracy
Afghanistan,AFG,1878,non-electoral autocracy
Afghanistan,AFG,1879,non-electoral autocracy
Afghanistan,AFG,1880,non-electoral autocracy
Afghanistan,AFG,1881,non-electoral autocracy
Afghanistan,AFG,1882,non-electoral autocracy
Afghanistan,AFG,1883,non-electoral autocracy
Afghanistan,AFG,1884,non-electoral autocracy
Afghanistan,AFG,1885,non-electoral autocracy
Afghanistan,AFG,1886,non-electoral autocracy
Afghanistan,AFG,1887,non-electoral autocracy
Afghanistan,AFG,1888,non-electoral autocracy
Afghanistan,AFG,1889,non-electoral autocracy
Afghanistan,AFG,1890,non-electoral autocracy
Afghanistan,AFG,1891,non-electoral autocracy
Afghanistan,AFG,1892,non-electoral autocracy
Afghanistan,AFG,1893,non-electoral autocracy
Afghanistan,AFG,1894,non-electoral autocracy
Afghanistan,AFG,1895,non-electoral autocracy
Afghanistan,AFG,1896,non-electoral autocracy
Afghanistan,AFG,1897,non-electoral autocracy
Afghanistan,AFG,1898,non-electoral autocracy
Afghanistan,AFG,1899,non-electoral autocracy
Afghanistan,AFG,1900,non-electoral autocracy
Afghanistan,AFG,1901,non-electoral autocracy
Afghanistan,AFG,1902,non-electoral autocracy
Afghanistan,AFG,1903,non-electoral autocracy
Afghanistan,AFG,1904,non-electoral autocracy
Afghanistan,AFG,1905,non-electoral autocracy
Afghanistan,AFG,1906,non-electoral autocracy
Afghanistan,AFG,1907,non-electoral autocracy
Afghanistan,AFG,1908,non-electoral autocracy
Afghanistan,AFG,1909,non-electoral autocracy
Afghanistan,AFG,1910,non-electoral autocracy
Afghanistan,AFG,1911,non-electoral autocracy
Afghanistan,AFG,1912,non-electoral autocracy
Afghanistan,AFG,1913,non-electoral autocracy
Afghanistan,AFG,1914,non-electoral autocracy
Afghanistan,AFG,1915,non-electoral autocracy
Afghanistan,AFG,1916,non-electoral autocracy
Afghanistan,AFG,1917,non-electoral autocracy
Afghanistan,AFG,1918,non-electoral autocracy
Afghanistan,AFG,1919,non-electoral autocracy
Afghanistan,AFG,1920,non-electoral autocracy
Afghanistan,AFG,1921,non-electoral autocracy
Afghanistan,AFG,1922,non-electoral autocracy
Afghanistan,AFG,1923,non-electoral autocracy
Afghanistan,AFG,1924,non-electoral autocracy
Afghanistan,AFG,1925,non-electoral autocracy
Afghanistan,AFG,1926,non-electoral autocracy
Afghanistan,AFG,1927,non-electoral autocracy
Afghanistan,AFG,1928,non-electoral autocracy
Afghanistan,AFG,1929,non-electoral autocracy
Afghanistan,AFG,1930,non-electoral autocracy
Afghanistan,AFG,1931,non-electoral autocracy
Afghanistan,AFG,1932,one-party autocracy
Afghanistan,AFG,1933,one-party autocracy
Afghanistan,AFG,1934,one-party autocracy
Afghanistan,AFG,1935,one-party autocracy
Afghanistan,AFG,1936,one-party autocracy
Afghanistan,AFG,1937,one-party autocracy
Afghanistan,AFG,1938,one-party autocracy
Afghanistan,AFG,1939,one-party autocracy
Afghanistan,AFG,1940,one-party autocracy
Afghanistan,AFG,1941,one-party autocracy
Afghanistan,AFG,1942,one-party autocracy
Afghanistan,AFG,1943,one-party autocracy
Afghanistan,AFG,1944,one-party autocracy
Afghanistan,AFG,1945,one-party autocracy
Afghanistan,AFG,1946,one-party autocracy
Afghanistan,AFG,1947,one-party autocracy
Afghanistan,AFG,1948,one-party autocracy
Afghanistan,AFG,1949,one-party autocracy
Afghanistan,AFG,1950,one-party autocracy
Afghanistan,AFG,1951,one-party autocracy
Afghanistan,AFG,1952,one-party autocracy
Afghanistan,AFG,1953,one-party autocracy
Afghanistan,AFG,1954,one-party autocracy
Afghanistan,AFG,1955,one-party autocracy
Afghanistan,AFG,1956,one-party autocracy
Afghanistan,AFG,1957,one-party autocracy
Afghanistan,AFG,1958,one-party autocracy
Afghanistan,AFG,1959,one-party autocracy
Afghanistan,AFG,1960,one-party autocracy
Afghanistan,AFG,1961,one-party autocracy
Afghanistan,AFG,1962,one-party autocracy
Afghanistan,AFG,1963,one-party autocracy
Afghanistan,AFG,1964,multi-party autocracy without elected executive
Afghanistan,AFG,1965,multi-party autocracy without elected executive
Afghanistan,AFG,1966,multi-party autocracy without elected executive
Afghanistan,AFG,1967,multi-party autocracy without elected executive
Afghanistan,AFG,1968,multi-party autocracy without elected executive
Afghanistan,AFG,1969,multi-party autocracy without elected executive
Afghanistan,AFG,1970,multi-party autocracy without elected executive
Afghanistan,AFG,1971,multi-party autocracy without elected executive
Afghanistan,AFG,1972,multi-party autocracy without elected executive
Afghanistan,AFG,1973,one-party autocracy
Afghanistan,AFG,1974,one-party autocracy
Afghanistan,AFG,1975,one-party autocracy
Afghanistan,AFG,1976,one-party autocracy
Afghanistan,AFG,1977,one-party autocracy
Afghanistan,AFG,1978,one-party autocracy
Afghanistan,AFG,1979,one-party autocracy
Afghanistan,AFG,1980,one-party autocracy
Afghanistan,AFG,1981,one-party autocracy
Afghanistan,AFG,1982,one-party autocracy
Afghanistan,AFG,1983,one-party autocracy
Afghanistan,AFG,1984,one-party autocracy
Afghanistan,AFG,1985,non-electoral autocracy
Afghanistan,AFG,1986,non-electoral autocracy
Afghanistan,AFG,1987,multi-party autocracy
Afghanistan,AFG,1988,multi-party autocracy
Afghanistan,AFG,1989,multi-party autocracy
Afghanistan,AFG,1990,multi-party autocracy
Afghanistan,AFG,1991,multi-party autocracy
Afghanistan,AFG,1992,non-electoral autocracy
Afghanistan,AFG,1993,non-electoral autocracy
Afghanistan,AFG,1994,non-electoral autocracy
Afghanistan,AFG,1995,non-electoral autocracy
Afghanistan,AFG,1996,non-electoral autocracy
Afghanistan,AFG,1997,non-electoral autocracy
Afghanistan,AFG,1998,non-electoral autocracy
Afghanistan,AFG,1999,non-electoral autocracy
Afghanistan,AFG,2000,non-electoral autocracy
Afghanistan,AFG,2001,non-electoral autocracy
Afghanistan,AFG,2002,non-electoral autocracy
Afghanistan,AFG,2003,non-electoral autocracy
Afghanistan,AFG,2004,one-party autocracy
Afghanistan,AFG,2005,multi-party autocracy
Afghanistan,AFG,2006,multi-party autocracy
Afghanistan,AFG,2007,multi-party autocracy
Afghanistan,AFG,2008,multi-party autocracy
Afghanistan,AFG,2009,multi-party autocracy
Afghanistan,AFG,2010,multi-party autocracy
Afghanistan,AFG,2011,multi-party autocracy
Afghanistan,AFG,2012,multi-party autocracy
Afghanistan,AFG,2013,multi-party autocracy
Afghanistan,AFG,2014,multi-party autocracy
Afghanistan,AFG,2015,multi-party autocracy
Afghanistan,AFG,2016,multi-party autocracy
Afghanistan,AFG,2017,multi-party autocracy
Afghanistan,AFG,2018,multi-party autocracy
Afghanistan,AFG,2019,multi-party autocracy
Afghanistan,AFG,2020,multi-party autocracy
Afghanistan,AFG,2021,non-electoral autocracy
Afghanistan,AFG,2022,non-electoral autocracy
Afghanistan,AFG,2023,non-electoral autocracy
Afghanistan,AFG,2024,non-electoral autocracy
Albania,ALB,1912,non-electoral autocracy
Albania,ALB,1913,one-party autocracy
Albania,ALB,1914,one-party autocracy
Albania,ALB,1915,one-party autocracy
Albania,ALB,1916,one-party autocracy
Albania,ALB,1917,one-party autocracy
Albania,ALB,1918,one-party autocracy
Albania,ALB,1919,one-party autocracy
Albania,ALB,1920,multi-party autocracy
Albania,ALB,1921,multi-party autocracy
Albania,ALB,1922,multi-party autocracy
Albania,ALB,1923,multi-party autocracy
Albania,ALB,1924,multi-party autocracy
Albania,ALB,1925,one-party autocracy
Albania,ALB,1926,one-party autocracy
Albania,ALB,1927,one-party autocracy
Albania,ALB,1928,one-party autocracy
Albania,ALB,1929,one-party autocracy
Albania,ALB,1930,one-party autocracy
Albania,ALB,1931,one-party autocracy
Albania,ALB,1932,one-party autocracy
Albania,ALB,1933,one-party autocracy
Albania,ALB,1934,one-party autocracy
Albania,ALB,1935,one-party autocracy
Albania,ALB,1936,one-party autocracy
Albania,ALB,1937,one-party autocracy
Albania,ALB,1938,one-party autocracy
Albania,ALB,1939,one-party autocracy
Albania,ALB,1940,one-party autocracy
Albania,ALB,1941,one-party autocracy
Albania,ALB,1942,one-party autocracy
Albania,ALB,1943,one-party autocracy
Albania,ALB,1944,non-electoral autocracy
Albania,ALB,1945,one-party autocracy
Albania,ALB,1946,one-party autocracy
Albania,ALB,1947,one-party autocracy
Albania,ALB,1948,one-party autocracy
Albania,ALB,1949,one-party autocracy
Albania,ALB,1950,one-party autocracy
Albania,ALB,1951,one-party autocracy
Albania,ALB,1952,one-party autocracy
Albania,ALB,1953,one-party autocracy
Albania,ALB,1954,one-party autocracy
Albania,ALB,1955,one-party autocracy
Albania,ALB,1956,one-party autocracy
Albania,ALB,1957,one-party autocracy
Albania,ALB,1958,one-party autocracy
Albania,ALB,1959,one-party autocracy
Albania,ALB,1960,one-party autocracy
Albania,ALB,1961,one-party autocracy
Albania,ALB,1962,one-party autocracy
Albania,ALB,1963,one-party autocracy
Albania,ALB,1964,one-party autocracy
Albania,ALB,1965,one-party autocracy
Albania,ALB,1966,one-party autocracy
Albania,ALB,1967,one-party autocracy
Albania,ALB,1968,one-party autocracy
Albania,ALB,1969,one-party autocracy
Albania,ALB,1970,one-party autocracy
Albania,ALB,1971,one-party autocracy
Albania,ALB,1972,one-party autocracy
Albania,ALB,1973,one-party autocracy
Albania,ALB,1974,one-party autocracy
Albania,ALB,1975,one-party autocracy
Albania,ALB,1976,one-party autocracy
Albania,ALB,1977,one-party autocracy
Albania,ALB,1978,one-party autocracy
Albania,ALB,1979,one-party autocracy
Albania,ALB,1980,one-party autocracy
Albania,ALB,1981,one-party autocracy
Albania,ALB,1982,one-party autocracy
Albania,ALB,1983,one-party autocracy
Albania,ALB,1984,one-party autocracy
Albania,ALB,1985,one-party autocracy
Albania,ALB,1986,one-party autocracy
Albania,ALB,1987,one-party autocracy
Albania,ALB,1988,one-party autocracy
Albania,ALB,1989,one-party autocracy
Albania,ALB,1990,one-party autocracy
Albania,ALB,1991,multi-party autocracy
Albania,ALB,1992,1
Albania,ALB,1993,2
Albania,ALB,1994,3
Albania,ALB,1995,4
Albania,ALB,1996,multi-party autocracy
Albania,ALB,1997,1
Albania,ALB,1998,2
Albania,ALB,1999,3
Albania,ALB,2000,4
Albania,ALB,2001,5
Albania,ALB,2002,6
Albania,ALB,2003,7
Albania,ALB,2004,8
Albania,ALB,2005,9
Albania,ALB,2006,10
Albania,ALB,2007,11
Albania,ALB,2008,12
Albania,ALB,2009,13
Albania,ALB,2010,14
Albania,ALB,2011,15
Albania,ALB,2012,16
Albania,ALB,2013,17
Albania,ALB,2014,18
Albania,ALB,2015,19
Albania,ALB,2016,20
Albania,ALB,2017,21
Albania,ALB,2018,22
Albania,ALB,2019,23
Albania,ALB,2020,24
Albania,ALB,2021,25
Albania,ALB,2022,26
Albania,ALB,2023,27
Albania,ALB,2024,28
Algeria,DZA,1789,non-electoral autocracy
Algeria,DZA,1790,non-electoral autocracy
Algeria,DZA,1791,non-electoral autocracy
Algeria,DZA,1792,non-electoral autocracy
Algeria,DZA,1793,non-electoral autocracy
Algeria,DZA,1794,non-electoral autocracy
Algeria,DZA,1795,non-electoral autocracy
Algeria,DZA,1796,non-electoral autocracy
Algeria,DZA,1797,non-electoral autocracy
Algeria,DZA,1798,non-electoral autocracy
Algeria,DZA,1799,non-electoral autocracy
Algeria,DZA,1800,non-electoral autocracy
Algeria,DZA,1801,non-electoral autocracy
Algeria,DZA,1802,non-electoral autocracy
Algeria,DZA,1803,non-electoral autocracy
Algeria,DZA,1804,non-electoral autocracy
Algeria,DZA,1805,non-electoral autocracy
Algeria,DZA,1806,non-electoral autocracy
Algeria,DZA,1807,non-electoral autocracy
Algeria,DZA,1808,non-electoral autocracy
Algeria,DZA,1809,non-electoral autocracy
Algeria,DZA,1810,non-electoral autocracy
Algeria,DZA,1811,non-electoral autocracy
Algeria,DZA,1812,non-electoral autocracy
Algeria,DZA,1813,non-electoral autocracy
Algeria,DZA,1814,non-electoral autocracy
Algeria,DZA,1815,non-electoral autocracy
Algeria,DZA,1816,non-electoral autocracy
Algeria,DZA,1817,non-electoral autocracy
Algeria,DZA,1818,non-electoral autocracy
Algeria,DZA,1819,non-electoral autocracy
Algeria,DZA,1820,non-electoral autocracy
Algeria,DZA,1821,non-electoral autocracy
Algeria,DZA,1822,non-electoral autocracy
Algeria,DZA,1823,non-electoral autocracy
Algeria,DZA,1824,non-electoral autocracy
Algeria,DZA,1825,non-electoral autocracy
Algeria,DZA,1826,non-electoral autocracy
Algeria,DZA,1827,non-electoral autocracy
Algeria,DZA,1828,non-electoral autocracy
Algeria,DZA,1829,non-electoral autocracy
Algeria,DZA,1830,non-electoral autocracy
Algeria,DZA,1831,non-electoral autocracy
Algeria,DZA,1832,non-electoral autocracy
Algeria,DZA,1833,non-electoral autocracy
Algeria,DZA,1834,non-electoral autocracy
Algeria,DZA,1835,non-electoral autocracy
Algeria,DZA,1836,non-electoral autocracy
Algeria,DZA,1837,non-electoral autocracy
Algeria,DZA,1838,non-electoral autocracy
Algeria,DZA,1839,non-electoral autocracy
Algeria,DZA,1840,non-electoral autocracy
Algeria,DZA,1841,non-electoral autocracy
Algeria,DZA,1842,non-electoral autocracy
Algeria,DZA,1843,non-electoral autocracy
Algeria,DZA,1844,non-electoral autocracy
Algeria,DZA,1845,non-electoral autocracy
Algeria,DZA,1846,non-electoral autocracy
Algeria,DZA,1847,non-electoral autocracy
Algeria,DZA,1848,non-electoral autocracy
Algeria,DZA,1849,non-electoral autocracy
Algeria,DZA,1850,non-electoral autocracy
Algeria,DZA,1851,non-electoral autocracy
Algeria,DZA,1852,non-electoral autocracy
Algeria,DZA,1853,non-electoral autocracy
Algeria,DZA,1854,non-electoral autocracy
Algeria,DZA,1855,non-electoral autocracy
Algeria,DZA,1856,non-electoral autocracy
Algeria,DZA,1857,non-electoral autocracy
Algeria,DZA,1858,non-electoral autocracy
Algeria,DZA,1859,non-electoral autocracy
Algeria,DZA,1860,non-electoral autocracy
Algeria,DZA,1861,non-electoral autocracy
Algeria,DZA,1862,non-electoral autocracy
Algeria,DZA,1863,non-electoral autocracy
Algeria,DZA,1864,non-electoral autocracy
Algeria,DZA,1865,non-electoral autocracy
Algeria,DZA,1866,non-electoral autocracy
Algeria,DZA,1867,non-electoral autocracy
Algeria,DZA,1868,non-electoral autocracy
Algeria,DZA,1869,non-electoral autocracy
Algeria,DZA,1870,non-electoral autocracy
Algeria,DZA,1871,non-electoral autocracy
Algeria,DZA,1872,non-electoral autocracy
Algeria,DZA,1873,non-electoral autocracy
Algeria,DZA,1874,non-electoral autocracy
Algeria,DZA,1875,non-electoral autocracy
Algeria,DZA,1876,non-electoral autocracy
Algeria,DZA,1877,non-electoral autocracy
Algeria,DZA,1878,non-electoral autocracy
Algeria,DZA,1879,non-electoral autocracy
Algeria,DZA,1880,non-electoral autocracy
Algeria,DZA,1881,non-electoral autocracy
Algeria,DZA,1882,non-electoral autocracy
Algeria,DZA,1883,non-electoral autocracy
Algeria,DZA,1884,non-electoral autocracy
Algeria,DZA,1885,non-electoral autocracy
Algeria,DZA,1886,non-electoral autocracy
Algeria,DZA,1887,non-electoral autocracy
Algeria,DZA,1888,non-electoral autocracy
Algeria,DZA,1889,non-electoral autocracy
Algeria,DZA,1890,non-electoral autocracy
