,Grande Região,Ano,Escala
0,Norte,2016,0.07708039116416637
1,Nordeste,2016,0.26455541048256015
2,Sudeste,2016,0.4358695941805004
3,Sul,2016,0.1471462069333049
4,Centro-Oeste,2016,0.07534839723946815
5,Norte,2017,0.07830523368285758
6,Nordeste,2017,0.263900638062075
7,Sudeste,2017,0.43486586269533684
8,Sul,2017,0.14708216114838057
9,Centro-Oeste,2017,0.07584610441135003
10,Norte,2018,0.07912515596816633
11,Nordeste,2018,0.26339709980023146
12,Sudeste,2018,0.4344416501270373
13,Sul,2018,0.1470076739570336
14,Centro-Oeste,2018,0.07602842014753133
15,Norte,2019,0.0797158844119676
16,Nordeste,2019,0.26363729272592556
17,Sudeste,2019,0.434247170341603
18,Sul,2019,0.1463821252459184
19,Centro-Oeste,2019,0.07601752727458545
20,Norte,2021,0.08125780664501624
21,Nordeste,2021,0.2629278041468898
22,Sudeste,2021,0.4341119160629528
23,Sul,2021,0.14572195853110168
24,Centro-Oeste,2021,0.07598051461403947
25,Norte,2022,0.08144913912527212
26,Nordeste,2022,0.2632780031664358
27,Sudeste,2022,0.4328431130021769
28,Sul,2022,0.14550143479121314
29,Centro-Oeste,2022,0.07692830991490204
30,Norte,2023,0.08212051850129136
31,Nordeste,2023,0.2628676695594698
32,Sudeste,2023,0.4314907524144093
33,Sul,2023,0.14537253509920806
34,Centro-Oeste,2023,0.07814852442562151
